"NAME";"GENE_SYMBOL";"GENE_TITLE";"SCORE"
"ENSG00000127831";"VIL1";"villin 1";2391,97291668164
"ENSG00000059804";"SLC2A3";"solute carrier family 2 member 3";2338,43314497743
"ENSG00000119888";"EPCAM";"epithelial cell adhesion molecule";2146,95669643888
"ENSG00000176658";"MYO1D";"myosin ID";2035,10447349996
"ENSG00000128591";"FLNC";"filamin C";1938,88104094609
"ENSG00000109072";"VTN";"vitronectin";1808,05858310571
"ENSG00000148677";"ANKRD1";"ankyrin repeat domain 1";1683,39394706813
"ENSG00000132688";"NES";"nestin";1635,01705217973
"ENSG00000049130";"KITLG";"KIT ligand";1623,02847572426
"ENSG00000198478";"SH3BGRL2";"SH3 domain binding glutamate rich protein like 2";1549,54853785507
"ENSG00000150347";"ARID5B";"AT-rich interaction domain 5B";1507,9907976872
"ENSG00000155465";"SLC7A7";"solute carrier family 7 member 7";1479,49491112897
"ENSG00000143375";"CGN";"cingulin";1475,61592091488
"ENSG00000130203";"APOE";"apolipoprotein E";1424,15519596789
"ENSG00000162433";"AK4";"adenylate kinase 4";1362,17678070159
"ENSG00000166145";"SPINT1";"serine peptidase inhibitor, Kunitz type 1";1352,71208835435
"ENSG00000057294";"PKP2";"plakophilin 2";1254,33948183293
"ENSG00000137285";"TUBB2B";"tubulin beta 2B class IIb";1230,99042159986
"ENSG00000160145";"KALRN";"kalirin RhoGEF kinase";1230,7481451234
"ENSG00000139629";"GALNT6";"polypeptide N-acetylgalactosaminyltransferase 6";1219,602941397
"ENSG00000120833";"SOCS2";"suppressor of cytokine signaling 2";1216,35900435883
"ENSG00000184203";"PPP1R2";"protein phosphatase 1 regulatory inhibitor subunit 2";1215,05457519487
"ENSG00000039068";"CDH1";"cadherin 1";1200,73745219914
"ENSG00000149418";"ST14";"ST14 transmembrane serine protease matriptase";1189,50314332093
"ENSG00000153071";"DAB2";"DAB adaptor protein 2";1167,62949291526
"ENSG00000218336";"TENM3";"teneurin transmembrane protein 3";1160,1897093502
"ENSG00000084674";"APOB";"apolipoprotein B";1137,63230038393
"ENSG00000115414";"FN1";"fibronectin 1";1127,52002178598
"ENSG00000182985";"CADM1";"cell adhesion molecule 1";1123,46654179367
"ENSG00000138449";"SLC40A1";"solute carrier family 40 member 1";1122,97672025908
"ENSG00000101076";"HNF4A";"hepatocyte nuclear factor 4 alpha";1114,43130401429
"ENSG00000140807";"NKD1";"NKD inhibitor of WNT signaling pathway 1";1105,99993680106
"ENSG00000159399";"HK2";"hexokinase 2";1100,26350663581
"ENSG00000141448";"GATA6";"GATA binding protein 6";1090,49360630907
"ENSG00000120675";"DNAJC15";"DnaJ heat shock protein family (Hsp40) member C15";1080,3036374763
