"NAME";"GENE_SYMBOL";"GENE_TITLE";"SCORE"
"ENSG00000139211";"AMIGO2";"adhesion molecule with Ig like domain 2";126,329546754619
"ENSG00000130508";"PXDN";"peroxidasin";118,35705961502
"ENSG00000265843";"LINC01029";"long intergenic non-protein coding RNA 1029";117,392524306605
"ENSG00000229373";"LINC00452";"long intergenic non-protein coding RNA 452";115,617043926284
"ENSG00000151388";"ADAMTS12";"ADAM metallopeptidase with thrombospondin type 1 motif 12";108,036520990106
"ENSG00000168685";"IL7R";"interleukin 7 receptor";107,78612975389
"ENSG00000082397";"EPB41L3";"erythrocyte membrane protein band 4.1 like 3";106,700797186117
"ENSG00000182667";"NTM";"neurotrimin";104,987064005042
"ENSG00000229089";"ANKRD20A8P";"ankyrin repeat domain 20 family member A8, pseudogene";101,884615863523
"ENSG00000145247";"OCIAD2";"OCIA domain containing 2";100,603277295412
"ENSG00000166741";"NNMT";"nicotinamide N-methyltransferase";100,430108286054
"ENSG00000144583";"MARCHF4";"membrane associated ring-CH-type finger 4";97,8480335137441
"ENSG00000122641";"INHBA";"inhibin subunit beta A";96,804949390485
"ENSG00000074657";"ZNF532";"zinc finger protein 532";95,8855104606307
"ENSG00000198681";"MAGEA1";"MAGE family member A1";95,7724043243041
"ENSG00000162722";"TRIM58";"tripartite motif containing 58";95,5290343903989
"ENSG00000050165";"DKK3";"dickkopf WNT signaling pathway inhibitor 3";94,8024908212296
"ENSG00000166897";"ELFN2";"extracellular leucine rich repeat and fibronectin type III domain containing 2";93,3825644819225
"ENSG00000147381";"MAGEA4";"MAGE family member A4";93,2295615076156
"ENSG00000164176";"EDIL3";"EGF like repeats and discoidin domains 3";91,6667556903167
"ENSG00000187498";"COL4A1";"collagen type IV alpha 1 chain";88,2091732461638
"ENSG00000099399";"MAGEB2";"MAGE family member B2";88,0448040352768
"ENSG00000060718";"COL11A1";"collagen type XI alpha 1 chain";87,8145961564752
"ENSG00000143797";"MBOAT2";"membrane bound glycerophospholipid O-acyltransferase 2";87,6638770511685
